"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1924","Check displaying of dashboard page","LMS system","Wed Mar 18 07:36:32 UTC 2026","passed","Wed Mar 18 07:36:34 UTC 2026","Dashboard","Dashboard","",""
"","1846","User login with wrong email or password","LMS system","Wed Mar 18 07:36:22 UTC 2026","passed","Wed Mar 18 07:36:23 UTC 2026","Authorization","Authentication","",""
"","2403","User login with wrong email or password","LMS system","Wed Mar 18 07:36:19 UTC 2026","passed","Wed Mar 18 07:36:21 UTC 2026","Authorization","Authentication","",""
"","1816","Registration with correct email, username and password","LMS system","Wed Mar 18 07:36:25 UTC 2026","passed","Wed Mar 18 07:36:27 UTC 2026","Registration","Authentication","",""
"","1765","Check displaying of empty courses list","LMS system","Wed Mar 18 07:36:27 UTC 2026","passed","Wed Mar 18 07:36:29 UTC 2026","Courses","Courses","",""
"","1735","User login with wrong email or password","LMS system","Wed Mar 18 07:36:23 UTC 2026","passed","Wed Mar 18 07:36:25 UTC 2026","Authorization","Authentication","",""
"","3102","Edit course","LMS system","Wed Mar 18 07:36:29 UTC 2026","passed","Wed Mar 18 07:36:32 UTC 2026","Courses","Courses","",""
"","1560","Navigation from login page to registration page","LMS system","Wed Mar 18 07:36:24 UTC 2026","passed","Wed Mar 18 07:36:25 UTC 2026","Authorization","Authentication","",""
"","3857","User login with correct email and password","LMS system","Wed Mar 18 07:36:19 UTC 2026","passed","Wed Mar 18 07:36:23 UTC 2026","Authorization","Authentication","",""
"","2669","Create course","LMS system","Wed Mar 18 07:36:29 UTC 2026","passed","Wed Mar 18 07:36:31 UTC 2026","Courses","Courses","",""
