"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1815","User login with wrong email or password","LMS system","Wed Mar 18 09:30:36 UTC 2026","passed","Wed Mar 18 09:30:38 UTC 2026","Authorization","Authentication","",""
"","2939","Edit course","LMS system","Wed Mar 18 09:30:44 UTC 2026","passed","Wed Mar 18 09:30:47 UTC 2026","Courses","Courses","",""
"","1792","Registration with correct email, username and password","LMS system","Wed Mar 18 09:30:39 UTC 2026","passed","Wed Mar 18 09:30:41 UTC 2026","Registration","Authentication","",""
"","1875","Check displaying of dashboard page","LMS system","Wed Mar 18 09:30:46 UTC 2026","passed","Wed Mar 18 09:30:48 UTC 2026","Dashboard","Dashboard","",""
"","1551","Navigation from login page to registration page","LMS system","Wed Mar 18 09:30:38 UTC 2026","passed","Wed Mar 18 09:30:40 UTC 2026","Authorization","Authentication","",""
"","2228","User login with wrong email or password","LMS system","Wed Mar 18 09:30:34 UTC 2026","passed","Wed Mar 18 09:30:36 UTC 2026","Authorization","Authentication","",""
"","1673","User login with wrong email or password","LMS system","Wed Mar 18 09:30:38 UTC 2026","passed","Wed Mar 18 09:30:39 UTC 2026","Authorization","Authentication","",""
"","3546","User login with correct email and password","LMS system","Wed Mar 18 09:30:34 UTC 2026","passed","Wed Mar 18 09:30:37 UTC 2026","Authorization","Authentication","",""
"","1660","Check displaying of empty courses list","LMS system","Wed Mar 18 09:30:42 UTC 2026","passed","Wed Mar 18 09:30:43 UTC 2026","Courses","Courses","",""
"","2419","Create course","LMS system","Wed Mar 18 09:30:43 UTC 2026","passed","Wed Mar 18 09:30:46 UTC 2026","Courses","Courses","",""
