"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1791","Check displaying of dashboard page","LMS system","Wed Mar 11 12:39:15 UTC 2026","passed","Wed Mar 11 12:39:17 UTC 2026","Dashboard","Dashboard","",""
"","1627","User login with wrong email or password","LMS system","Wed Mar 11 12:39:07 UTC 2026","passed","Wed Mar 11 12:39:09 UTC 2026","Authorization","Authentication","",""
"","1725","User login with wrong email or password","LMS system","Wed Mar 11 12:39:06 UTC 2026","passed","Wed Mar 11 12:39:07 UTC 2026","Authorization","Authentication","",""
"","1462","Navigation from login page to registration page","LMS system","Wed Mar 11 12:39:08 UTC 2026","passed","Wed Mar 11 12:39:09 UTC 2026","Authorization","Authentication","",""
"","2257","Create course","LMS system","Wed Mar 11 12:39:12 UTC 2026","passed","Wed Mar 11 12:39:14 UTC 2026","Courses","Courses","",""
"","2916","Edit course","LMS system","Wed Mar 11 12:39:13 UTC 2026","passed","Wed Mar 11 12:39:16 UTC 2026","Courses","Courses","",""
"","1570","Check displaying of empty courses list","LMS system","Wed Mar 11 12:39:11 UTC 2026","passed","Wed Mar 11 12:39:13 UTC 2026","Courses","Courses","",""
"","1711","Registration with correct email, username and password","LMS system","Wed Mar 11 12:39:09 UTC 2026","passed","Wed Mar 11 12:39:10 UTC 2026","Registration","Authentication","",""
"","3584","User login with correct email and password","LMS system","Wed Mar 11 12:39:03 UTC 2026","passed","Wed Mar 11 12:39:06 UTC 2026","Authorization","Authentication","",""
"","2288","User login with wrong email or password","LMS system","Wed Mar 11 12:39:03 UTC 2026","passed","Wed Mar 11 12:39:05 UTC 2026","Authorization","Authentication","",""
