"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1795","Registration with correct email, username and password","LMS system","Wed Mar 11 12:53:09 UTC 2026","passed","Wed Mar 11 12:53:11 UTC 2026","Registration","Authentication","",""
"","1854","Check displaying of dashboard page","LMS system","Wed Mar 11 12:53:16 UTC 2026","passed","Wed Mar 11 12:53:17 UTC 2026","Dashboard","Dashboard","",""
"","1818","User login with wrong email or password","LMS system","Wed Mar 11 12:53:05 UTC 2026","passed","Wed Mar 11 12:53:07 UTC 2026","Authorization","Authentication","",""
"","1486","Navigation from login page to registration page","LMS system","Wed Mar 11 12:53:08 UTC 2026","passed","Wed Mar 11 12:53:09 UTC 2026","Authorization","Authentication","",""
"","1668","Check displaying of empty courses list","LMS system","Wed Mar 11 12:53:11 UTC 2026","passed","Wed Mar 11 12:53:13 UTC 2026","Courses","Courses","",""
"","2043","User login with wrong email or password","LMS system","Wed Mar 11 12:53:03 UTC 2026","passed","Wed Mar 11 12:53:05 UTC 2026","Authorization","Authentication","",""
"","1619","User login with wrong email or password","LMS system","Wed Mar 11 12:53:07 UTC 2026","passed","Wed Mar 11 12:53:09 UTC 2026","Authorization","Authentication","",""
"","3523","User login with correct email and password","LMS system","Wed Mar 11 12:53:03 UTC 2026","passed","Wed Mar 11 12:53:07 UTC 2026","Authorization","Authentication","",""
"","2631","Create course","LMS system","Wed Mar 11 12:53:12 UTC 2026","passed","Wed Mar 11 12:53:15 UTC 2026","Courses","Courses","",""
"","3114","Edit course","LMS system","Wed Mar 11 12:53:13 UTC 2026","passed","Wed Mar 11 12:53:16 UTC 2026","Courses","Courses","",""
