"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2086","User login with wrong email or password","LMS system","Wed Mar 11 12:15:56 UTC 2026","passed","Wed Mar 11 12:15:59 UTC 2026","Authorization","Authentication","",""
"","2639","Create course","LMS system","Wed Mar 11 12:16:06 UTC 2026","passed","Wed Mar 11 12:16:09 UTC 2026","Courses","Courses","",""
"","1596","Navigation from login page to registration page","LMS system","Wed Mar 11 12:16:01 UTC 2026","passed","Wed Mar 11 12:16:03 UTC 2026","Authorization","Authentication","",""
"","3342","Edit course","LMS system","Wed Mar 11 12:16:07 UTC 2026","passed","Wed Mar 11 12:16:10 UTC 2026","Courses","Courses","",""
"","1975","Registration with correct email, username and password","LMS system","Wed Mar 11 12:16:02 UTC 2026","passed","Wed Mar 11 12:16:04 UTC 2026","Registration","Authentication","",""
"","1793","User login with wrong email or password","LMS system","Wed Mar 11 12:15:59 UTC 2026","passed","Wed Mar 11 12:16:01 UTC 2026","Authorization","Authentication","",""
"","1838","Check displaying of empty courses list","LMS system","Wed Mar 11 12:16:05 UTC 2026","passed","Wed Mar 11 12:16:07 UTC 2026","Courses","Courses","",""
"","3244","User login with correct email and password","LMS system","Wed Mar 11 12:15:56 UTC 2026","passed","Wed Mar 11 12:16:00 UTC 2026","Authorization","Authentication","",""
"","1880","Check displaying of dashboard page","LMS system","Wed Mar 11 12:16:10 UTC 2026","passed","Wed Mar 11 12:16:11 UTC 2026","Dashboard","Dashboard","",""
"","1793","User login with wrong email or password","LMS system","Wed Mar 11 12:16:00 UTC 2026","passed","Wed Mar 11 12:16:02 UTC 2026","Authorization","Authentication","",""
